segment_id,street,from_street,to_street,start_latitude,start_longitude,end_latitude,end_longitude
970,Pershing,Dan Ryan Expy,State,41.82371453,-87.63050842,41.82381853,-87.62644842
373,Western,87th,91st,41.7355283222,-87.6826972175,41.7282307117,-87.6824828127
185,87th,Central Park,Kedzie,41.7348842334,-87.7119953299,41.735083368,-87.7020978703
877,LaSalle,Stockton,Lake Shore Dr,41.9132509892,-87.6315440404,41.9128509892,-87.6268319095
309,Irving Park,Pulaski,Kostner,41.9537849922,-87.7276158638,41.9536666068,-87.7380626662
1105,Cermak,City Boundary,Cicero,41.8515161194,-87.7394907937,41.8514803382,-87.7442663916
120,Ashland,Chicago,Milwaukee,41.8960725742,-87.6671078757,41.9040161282,-87.6673294583
710,Dr Martin L King Jr,59th,63rd,41.7875182,-87.6160043658,41.7801838678,-87.6158195303
459,95th,Stony Island,Jeffery,41.722204896,-87.5851090249,41.7223678834,-87.5753681177
813,Stony Island,71st,75th,41.7660878258,-87.5862821566,41.7587855819,-87.5861128958
214,Roosevelt,Central,Laramie,41.8654815414,-87.764354818,41.8655761505,-87.7545600319
594,Lake Shore Dr,North Ave,Fullerton,41.9113301795,-87.6257810568,41.9260827378,-87.6310264345
1000,Touhy,Crawford,Kedzie,42.0115985088,-87.7285988897,42.0117196518,-87.7090567368
179,Garfield,Dan Ryan Expy,Halsted,41.7946718587,-87.6311253178,41.7944390571,-87.6451588943
1173,Indiana,130th,127th,41.6591062937,-87.618270448,41.663379309,-87.6174865167
48,Pulaski,North Ave,Armitage,41.9098857185,-87.7261470243,41.9171651852,-87.7264442053
816,Stony Island,59th,63rd,41.7878819901,-87.5868421143,41.7806547878,-87.5866211188
139,Ashland,63rd,67th,41.7794656394,-87.6644040713,41.7721930844,-87.6642044154
406,Western,Foster,Lawrence,41.9758925735,-87.6893345677,41.9686159566,-87.689090429
365,Western,Lawrence,Foster,41.9686138926,-87.6887227326,41.97589051,-87.6889668295
457,95th,Cottage Grove,Woodlawn,41.7219515062,-87.6045043683,41.722002538,-87.5947345466
930,Milwaukee,Armitage,Fullerton,41.9175685137,-87.6883646017,41.9247896604,-87.7002228515
1037,Wacker,State,LaSalle,41.8869508682,-87.627973493,41.8870664305,-87.6324828907
481,111th,Stewart,Michigan,41.6923240265,-87.6329245801,41.6924819001,-87.6210393558
518,Archer,Damen,Western,41.8319637,-87.67537005,41.82615333,-87.68489325
219,Roosevelt,Central Park,Kedzie,41.8661526026,-87.7154221093,41.8662681014,-87.7056705433
313,Irving Park,Western,California,41.9541499435,-87.6884648539,41.9541110923,-87.6982391845
264,87th,Kostner,Cicero,41.7348268186,-87.7311593177,41.7346613209,-87.7410563453
1193,Dr Martin L King Jr,Cermak,24th,41.8530029925,-87.6192241821,41.8493505614,-87.6185256664
106,Ashland,59th,55th,41.7867457704,-87.6642111674,41.7940232957,-87.6643984668
132,Ashland,Bryn Mawr,Clark,41.9834747775,-87.6696322417,41.9867518859,-87.6695265292
931,Milwaukee,Peterson,Devon,41.9901946296,-87.7808506377,41.9973513029,-87.7877063878
1082,130th,Indiana,I-94 Expy,41.6589702239,-87.618454928,41.6598188126,-87.5888058664
541,Cermak,Racine,Halsted,41.8524053768,-87.656182952,41.8525453729,-87.6464628869
698,Dr Martin L King Jr,35th,31st,41.8311007753,-87.6169702483,41.8384212078,-87.6171031194
150,Ashland,Roosevelt,18th,41.8668625554,-87.6665671071,41.8577948131,-87.6663216627
822,Torrence,107th,103rd,41.7009752315,-87.5593916356,41.7081667435,-87.5594825555
985,Torrence,107th,112th,41.700977697,-87.5597578004,41.6919421101,-87.559645328
1049,Warren,Damen,Ashland,41.8820947137,-87.6766645172,41.8822417003,-87.6668391286
858,Higgins,Austin,Nagle,41.9733282922,-87.7782350055,41.9763954381,-87.7878566714
1285,Chicago,Michigan,Lake Shore Dr,41.896635,-87.624241,41.896736,-87.617048
937,Milwaukee,Fullerton,Armitage,41.9247916859,-87.700590308,41.9175705769,-87.6887320123
602,Lake Shore Dr,Foster,Hollywood,41.9765945008,-87.6502830414,41.9855533157,-87.6533932841
32,Pulaski,55th,Archer,41.7932034198,-87.7229756027,41.802316468,-87.7233273471
223,Roosevelt,Damen,Ashland,41.8666173666,-87.6762510995,41.8667242852,-87.6663849776
1227,Halsted,Armitage,Fullerton,41.91818,-87.648318,41.925454,-87.64857
1036,Wacker,LaSalle,Franklin,41.8870664305,-87.6324828907,41.8869924633,-87.6354417258
307,Irving Park,Cicero,Laramie,41.9535555813,-87.7473036159,41.9534369276,-87.7571464847
1152,Harlem,Chicago,North Ave,41.8942683013,-87.8051007941,41.9088560337,-87.8055536529
648,Cicero,Fullerton,Armitage,41.9242323024,-87.7464522852,41.9169319883,-87.7462962254
544,Cermak,Michigan,Dr Martin L King Jr,41.852665046,-87.623799,41.8527760863,-87.6194512191
695,Dr Martin L King Jr,47th,43rd,41.8093848774,-87.6163943054,41.8166344948,-87.6165993704
1090,130th,I-94 Expy,Indiana,41.6600932265,-87.5888027055,41.6592446397,-87.6184518931
656,Congress,State,Michigan,41.8754846848,-87.6276307364,41.8755994887,-87.6242548163
987,Torrence,99th,103rd,41.7154067044,-87.5599585029,41.7081692089,-87.5598487355
76,Pulaski,31st,I-55 Expy,41.8368851841,-87.7246009792,41.8229936666,-87.7243007082
52,Pulaski,Milwaukee,Irving Park,41.9411668426,-87.7270628829,41.9536468185,-87.727551496
202,North,Kostner,Cicero,41.9098927671,-87.7362618327,41.9097629867,-87.7461131909
912,Michigan,26th,31st,41.84564219,-87.62390743,41.83834404,-87.62363669
943,Milwaukee,Lawrence,Montrose,41.9678453326,-87.7609588782,41.960634303,-87.7546730264
232,Roosevelt,Kostner,Cicero,41.866170101,-87.7349634658,41.8660878547,-87.7447613932
797,Stony Island,95th,91st,41.722346361,-87.5849507392,41.7296111731,-87.5850694771
687,Dr Martin L King Jr,79th,75th,41.7511190099,-87.6148109218,41.7584029267,-87.6148962271
183,87th,Kostner,Pulaski,41.7345524002,-87.731161881,41.7347180742,-87.7214579641
234,Roosevelt,Central Park,Pulaski,41.8664270139,-87.7154194668,41.8663093356,-87.7251691897
846,Harlem,Devon,Peterson,41.9977761215,-87.8069809576,41.98997995,-87.8070638759
1239,Halsted,79th,83rd,41.750643,-87.644233,41.743359,-87.644021
67,Pulaski,71st,79th,41.7641031795,-87.7226046555,41.7495734287,-87.7221640524
1245,Halsted,55th,59th,41.794301,-87.64535,41.787025,-87.64516
241,Roosevelt,Halsted,Racine,41.867291304,-87.6469168821,41.8671338197,-87.656679779
1101,Cermak,Cicero,City Boundary,41.8512059248,-87.7442689094,41.8512417062,-87.7394933319
810,Stony Island,83rd,87th,41.7442186009,-87.585774091,41.7369158383,-87.5856049147
215,Roosevelt,Laramie,Cicero,41.8655761505,-87.7545600319,41.8658134419,-87.7447639101
547,Cermak,Pulaski,Kostner,41.8517295572,-87.7248539636,41.8515825772,-87.7345076889
298,Irving Park,Clarendon,Lake Shore Dr,41.9544240318,-87.6497013008,41.9545203153,-87.6445645207
279,Irving Park,Pacific,Oriole,41.9521088985,-87.8269783644,41.9524069352,-87.8170669694
447,79th,Ashland,Racine,41.7502908262,-87.6634715402,41.7503147501,-87.6536959041
787,Peterson,Jersey,Central Park,41.9905195564,-87.7111087839,41.9903903804,-87.7188675725
203,North,Pulaski,Kostner,41.9100238945,-87.7263294053,41.9098927671,-87.7362618327
850,Higgins,Harlem,Oak Park,41.9809967484,-87.8069576478,41.9787314076,-87.7964600566
240,Roosevelt,Racine,Ashland,41.8671338197,-87.656679779,41.8669986938,-87.6663821254
774,Peterson,Edens Expy,Cicero,41.990023298,-87.7506684369,41.9897623135,-87.7483271581
621,Lake Shore Dr,Division,Oak St,41.9039983328,-87.6246546523,41.9009810502,-87.6198932807
497,Archer,Cicero,Kostner,41.7985004459,-87.7429034455,41.8000225514,-87.733172525
423,79th,Stony Island,Woodlawn,41.7515908387,-87.5857979864,41.7514496528,-87.595412204
700,Dr Martin L King Jr,26th,24th,41.8456974224,-87.6172921227,41.8493386937,-87.618133536
115,Ashland,18th,Roosevelt,41.8577926807,-87.6659546034,41.8668604234,-87.6661999959
1100,Cermak,Central,Cicero,41.8507279962,-87.7634806928,41.8512059248,-87.7442689094
493,Archer,Narragansett,Austin,41.7922277907,-87.7817895727,41.7940678353,-87.772082715
